concept_id,concept_name,concept_code,vocabulary_id
45576964,Postprocedural respiratory failure,J95.82,ICD10
45538487,Acute postprocedural respiratory failure,J95.821,ICD10
45562471,Acute and chronic postprocedural respiratory failure,J95.822,ICD10
45586686,"Respiratory failure, not elsewhere classified",J96,ICD10
1569515,"Respiratory failure, not elsewhere classified",J96,ICD10CM
45605905,Acute respiratory failure,J96.0,ICD10
35208099,Acute respiratory failure,J96.0,ICD10CM
45605906,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",J96.00,ICD10CM
45567283,Acute respiratory failure with hypoxia,J96.01,ICD10CM
45596289,Acute respiratory failure with hypercapnia,J96.02,ICD10CM
35208100,Chronic respiratory failure,J96.1,ICD10CM
45557632,Chronic respiratory failure,J96.1,ICD10
45548131,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",J96.10,ICD10CM
45538489,Chronic respiratory failure with hypoxia,J96.11,ICD10CM
45572177,Chronic respiratory failure with hypercapnia,J96.12,ICD10CM
35208101,Acute and chronic respiratory failure,J96.2,ICD10CM
45596290,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",J96.20,ICD10CM
45543283,Acute and chronic respiratory failure with hypoxia,J96.21,ICD10CM
45581868,Acute and chronic respiratory failure with hypercapnia,J96.22,ICD10CM
35208102,"Respiratory failure, unspecified",J96.9,ICD10CM
45538490,"Respiratory failure, unspecified",J96.9,ICD10
45567284,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",J96.90,ICD10CM
45605907,"Respiratory failure, unspecified with hypoxia",J96.91,ICD10CM
45533563,"Respiratory failure, unspecified with hypercapnia",J96.92,ICD10CM
45587419,Respiratory failure of newborn,P28.5,ICD10
35210515,Respiratory failure of newborn,P28.5,ICD10CM
45577701,Respiratory arrest of newborn,P28.81,ICD10
35211287,Respiratory arrest,R09.2,ICD10CM
45558451,Respiratory arrest,R09.2,ICD10
37016114,Acute on chronic hypoxemic respiratory failure,10672271000119100,SNOMED
37395564,Hypoxemic respiratory failure,10676831000119100,SNOMED
40321014,[D]Respiratory failure,158731006,SNOMED
40321016,Respiratory arrest [D],158733009,SNOMED
40321017,[D]Respiratory failure NOS,158734003,SNOMED
4110550,Neonatal cardiorespiratory arrest,181869007,SNOMED
40396498,Respiratory failure,196165003,SNOMED
40396917,Postprocedural respiratory failure,196192009,SNOMED
35615340,Acute on chronic hypoxemic and hypercapnic respiratory failure,20091000175107,SNOMED
40405345,Respiratory failure of newborn,206317005,SNOMED
4070545,Perinatal respiratory failure NOS,206323000,SNOMED
4011359,[D]Respiratory failure,207552005,SNOMED
4007901,Respiratory arrest [D],207554006,SNOMED
40402988,[D]Respiratory failure NOS,207555007,SNOMED
4119934,Respiratory failure without hypercapnia,233765002,SNOMED
40352280,Respiratory arrest [D],274270007,SNOMED
4166914,On examination - respiratory arrest,274282003,SNOMED
4077195,Respiratory arrest preceding cardiac arrest,276259003,SNOMED
4148486,Postprocedural respiratory failure,309775007,SNOMED
4266019,Acute respiratory failure requiring reintubation,397767007,SNOMED
314971,Chronic respiratory failure,39871006,SNOMED
4256228,Respiratory failure,409622000,SNOMED
4140438,Chronic hypercapnic respiratory failure,426896000,SNOMED
4177862,Chronic hypoxemic respiratory failure,428173007,SNOMED
44799165,[D]Respiratory failure NOS,450891000000102,SNOMED
44813043,[D]Respiratory failure,501861000000104,SNOMED
44802329,[D]Respiratory arrest,501881000000108,SNOMED
40601807,Respiratory failure,51395007,SNOMED
319049,Acute respiratory failure,65710008,SNOMED
312940,Acute-on-chronic respiratory failure,67905004,SNOMED
46271074,Hypercapnic respiratory failure,709109004,SNOMED
46273719,Acute hypercapnic respiratory failure,709110009,SNOMED
46271075,Acute hypoxemic respiratory failure,709111008,SNOMED
37399087,Post extubation acute respiratory failure requiring reintubation,718089001,SNOMED
42539533,Acute hypoxemic and hypercapnic respiratory failure,735386008,SNOMED
36716978,Acute on chronic hypercapnic respiratory failure,7361000175106,SNOMED
44808847,History of acute hypoxaemic respiratory failure,850841000000100,SNOMED
44808850,History of acute hypercapnic respiratory failure,850881000000108,SNOMED
317109,Respiratory arrest,87317003,SNOMED
313590,Perinatal respiratory failure,91581004,SNOMED
4317960,Neonatal respiratory failure,95619009,SNOMED
318856,Neonatal respiratory arrest,95634003,SNOMED
