1 HOUR SPECIMEN,25665-1,PEDSnet
2 HOUR SPECIMEN,12610-2,PEDSnet
ABSOLUTE BAND NEUTROPHILS,26507-4,AAP-CER2
ABSOLUTE BASOPHIL COUNT,26444-0,PEDSnet
ABSOLUTE BLAST COUNT,30376-8,PEDSnet
ABSOLUTE EOSINOPHIL COUNT,26449-9,PEDSnet
ABSOLUTE LYMPHOCYTE CNT,26474-7,PHIS
ABSOLUTE METAMYELOCYTES,30433-7,AAP-CER2
ABSOLUTE MONOCYTE COUNT,26484-6,PEDSnet
ABSOLUTE MYELOCYTES,30446-9,AAP-CER2
ABSOLUTE NEUTROPHIL COUNT,26499-4,PHIS
ABSOLUTE NUCLEATED RBC,30392-5,PEDSnet
ABSOLUTE OTHER COUNT,51585-8,PEDSnet
ABSOLUTE PROMYELOCYTES,26523-1,AAP-CER2
ABSOLUTE RETICULOCYTE,14196-0,PEDSnet
ACANTHOCYTES,7789-1,PHIS
ADENOVIRUS DNA PCR,21055-9,PHIS
ALANINE AMINOTRANSFERASE,1742-6,AAP-CER2
ALBUMIN,1751-7,PHIS
ALKALINE PHOSPHATASE,6768-6,PHIS
ALMOND (F20) IGE,6019-4,PEDSnet
ALTERNARIA ALTERNATA (M6) IGE,6020-2,PEDSnet
AMMONIA,16362-6,PHIS
AMYLASE,1798-8,PHIS
ANA PATTERN,14611-8,PEDSnet
ANA SCREEN,8061-4,PEDSnet
ANA TITER,29953-7,PEDSnet
ANISOCYTOSIS,702-1,PHIS
ANTI-ENDOMYSIAL AB SCREEN IGA,10362-2,PHIS
ANTI-TIS TRANSGLUTAMINASE IGA,31017-7,PHIS
APPEARANCE,10333-3,PHIS
APPEARANCE,10333-3,PHIS
ASPARTATE AMINOTRANSFERASE,1920-8,AAP-CER2
ASPERGILLUS FUMIGATUS (M3) IGE,6025-1,PEDSnet
"ATYP LYMPHS, BF",30416-2,PHIS
ATYPICAL LYMPHOCYTES,735-1,PHIS
B NATRIURETIC PEPTIDE,30934-4,PHIS
BANANA (F92) IGE,6035-0,PEDSnet
BANDS,26508-2,PHIS
"BANDS, BF",26509-0,PHIS
BARLEY (F6) IGE,6037-6,PEDSnet
BAROMETRIC PRESSURE,20053-5,PEDSnet
BASE EXCESS,11555-0,PHIS
BASOPHILIC STIPPLING,703-9,PHIS
BASOPHILS,30180-4,PHIS
"BASOPHILS, BF",30374-3,PHIS
BETA STREP GP A CULTURE,11268-0,PEDSnet
BICARBONATE (CALC),1963-8,PHIS
BILIRUBIN CONJUGATED,15152-2,AAP-CER2
BILIRUBIN TOTAL NEWBORN,1975-2,PHIS
BILIRUBIN UNCONJUGATED,1971-1,AAP-CER2
"BILIRUBIN, DIRECT",1968-7,PEDSnet
BIRCH (T3) IGE,15283-5,PEDSnet
BLASTS,30376-8,PHIS
"BLASTS, BF",26447-3,PHIS
"BLOOD CULTURE, ROUTINE",600-7,PEDSnet
"BLOOD TYPE, PATIENT",881-3,PHIS
BLUEBERRY (F288) IGE,7152-2,PEDSnet
BRAZIL NUT (F18) IGE,6050-9,PEDSnet
BROAD CASTS,53290-3,PHIS
BUCKWHEAT (F11) IGE,6054-1,PEDSnet
BURR CELLS,7790-9,PHIS
"C REACTIVE PROTEIN, HIGH SENS",30522-7,PHIS
C-REACTIVE PROTEIN,1988-5,PHIS
C. DIFFICILE TOXIN A,13957-6,PEDSnet
C. DIFFICILE TOXIN A/B,34713-8,PEDSnet
C. DIFFICILE TOXIN B,10895-1,PEDSnet
CA-OXALATE CRYSTALS,5774-5,PHIS
CALCIUM,17861-6,PHIS
CALCIUM CARBONATE CRYSTALS,5773-7,PHIS
CALCULATED HEMATOCRIT,20570-8,PHIS
CALCULATED TIBC,2500-7,PHIS
CAMPYLOBACTER CULTURE,6330-5,AAP-CER2
CARBON DIOXIDE,2028-9,PHIS
CARBOXYHEMOGLOBIN,20563-3,PHIS
CASEIN (F78) IGE,6062-4,PEDSnet
CASHEW NUT (F202) IGE,6718-1,PEDSnet
CAT DANDER (E1) IGE,6833-8,PEDSnet
CBC MORPHOLOGY,18225-3,PEDSnet
CELLULAR CASTS,53848-8,PHIS
