vocabulary_id,vocabulary_name,vocabulary_reference
ABMS,Provider Specialty (American Board of Medical Specialties),http://www.abms.org/member-boards/specialty-subspecialty-certificates
None,OMOP Standardized Vocabularies,OMOP generated
SNOMED,Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html
ICD9CM,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html
ICD9Proc,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html
CPT4,Current Procedural Terminology version 4 (AMA),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html
HCPCS,Healthcare Common Procedure Coding System (CMS),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html
LOINC,Logical Observation Identifiers Names and Codes (Regenstrief Institute),http://loinc.org/downloads/loinc
NDFRT,National Drug File - Reference Terminology (VA),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html
RxNorm,RxNorm (NLM),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html
NDC,National Drug Code (FDA and manufacturers),"http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip"
UCUM,Unified Code for Units of Measure (Regenstrief Institute),http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index
Gender,OMOP Gender,OMOP generated
Race,Race and Ethnicity Code Set (USBC),http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf
Place of Service,Place of Service Codes for Professional Claims (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf
MedDRA,Medical Dictionary for Regulatory Activities (MSSO),http://www.meddramsso.com/subscriber_download.asp
Multum,Cerner Multum (Cerner),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html
ATC,WHO Anatomic Therapeutic Chemical Classification,FDB UK distribution package
Visit,OMOP Visit,OMOP generated
VA Product,VA National Drug File Product (VA),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html
SMQ,Standardised MedDRA Queries (MSSO),http://www.meddramsso.com/secure/smq/SMQ_Spreadsheet_14_0_English_update.xlsx
VA Class,VA National Drug File Class (VA),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html
Cohort,Legacy OMOP HOI or DOI cohort,OMOP generated
ICD10,"International Classification of Diseases, 10th Revision, (WHO)",http://www.who.int/classifications/icd/icdonlineversions/en/
ICD10PCS,ICD-10 Procedure Coding System (CMS),http://www.cms.gov/Medicare/Coding/ICD10/index.html
Drug Type,OMOP Drug Exposure Type,OMOP generated
Condition Type,OMOP Condition Occurrence Type,OMOP generated
Procedure Type,OMOP Procedure Occurrence Type,OMOP generated
Observation Type,OMOP Observation Type,OMOP generated
DRG,Diagnosis-related group (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/Acute-Inpatient-Files-for-Download.html
MDC,Major Diagnostic Categories (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/Acute-Inpatient-Files-for-Download.html
APC,Ambulatory Payment Classification (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/HospitalOutpatientPPS/Hospital-Outpatient-Regulations-and-Notices.html
Revenue Code,UB04/CMS1450 Revenue Codes (CMS),http://www.mpca.net/?page=ERC_finance
Ethnicity,OMOP Ethnicity,OMOP generated
Death Type,OMOP Death Type,OMOP generated
MeSH,Medical Subject Headings (NLM),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html
NUCC,National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC),http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132
Specialty,Medicare provider/supplier specialty codes (CMS),http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html
SPL,Structured Product Labeling (FDA),http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm
Genseqno,Generic sequence number (FDB),FDB US distribution package
CCS,Clinical Classifications Software for ICD-9-CM (HCUP),http://www.hcup-us.ahrq.gov/toolssoftware/ccs/ccs.jsp#download
OPCS4,OPCS Classification of Interventions and Procedures version 4 (NHS),http://systems.hscic.gov.uk/data/clinicalcoding/codingstandards/opcs4
Note Type,OMOP Note Type,OMOP generated
Domain,OMOP Domain,OMOP generated
PCORNet,National Patient-Centered Clinical Research Network (PCORI),OMOP generated
Obs Period Type,OMOP Observation Period Type,OMOP generated
Visit Type,OMOP Visit Type,OMOP generated
Device Type,OMOP Device Type,OMOP generated
Meas Type,OMOP Measurement Type,OMOP generated
Currency,International Currency Symbol (ISO 4217),http://www.iso.org/iso/home/standards/currency_codes.htm
Relationship,OMOP Relationship,OMOP generated
Vocabulary,OMOP Vocabulary,OMOP generated
Concept Class,OMOP Concept Class,OMOP generated
Cohort Type,OMOP Cohort Type,OMOP generated
PEDSnet,PEDSnet,PEDSnet custom concept codes
